Below are data for ortho-tolunitrile in purely electrostatic and CN-HB-conditions with water and MeOH.
Electric fields and HB geometry are reported together with vibrational frequencies and TDMs of the CN.
See 10.26434/chemrxiv-2024-rjm5p for further details

EF_x	EF_y	EF_z	env	HB_angle	HB_distance	v
0.0000	0.0000	0.0000	elec	0.00	999.00	2234.11
-3.7234	-0.0016	-6.8836	elec	0.00	999.00	2231.74
-7.4514	-0.0023	-13.7684	elec	0.00	999.00	2229.42
-11.1785	-0.0033	-20.6558	elec	0.00	999.00	2226.69
-14.9072	-0.0044	-27.5451	elec	0.00	999.00	2223.79
-18.6370	-0.0056	-34.4364	elec	0.00	999.00	2220.72
0.0000	0.0000	0.0000	elec	0.00	999.00	2234.11
0.1825	-3.7815	-0.2446	elec	0.00	999.00	2234.14
0.1736	-7.5558	-0.5597	elec	0.00	999.00	2234.07
-0.0758	-11.3470	-0.9596	elec	0.00	999.00	2233.92
-0.5725	-15.1271	-1.4482	elec	0.00	999.00	2233.71
-1.3356	-18.8728	-2.0350	elec	0.00	999.00	2233.43
-2.2996	-22.5583	-2.7104	elec	0.00	999.00	2233.13
-3.6588	-26.1482	-3.5408	elec	0.00	999.00	2232.71
-5.3230	-29.5727	-4.5327	elec	0.00	999.00	2232.23
-7.2844	-32.7596	-5.7490	elec	0.00	999.00	2231.57
-9.5629	-35.4856	-7.3845	elec	0.00	999.00	2230.90
0.0000	0.0000	0.0000	elec	0.00	999.00	2234.11
-3.0897	-0.3294	2.2129	elec	0.00	999.00	2234.20
-6.2279	-0.6718	4.3949	elec	0.00	999.00	2234.28
-9.3860	-0.9923	6.5476	elec	0.00	999.00	2234.28
-12.5732	-1.3245	8.6692	elec	0.00	999.00	2234.30
-15.7858	-1.6319	10.7630	elec	0.00	999.00	2234.22
-19.0081	-1.9310	12.8341	elec	0.00	999.00	2234.11
-22.2739	-2.2189	14.8737	elec	0.00	999.00	2233.95
-25.5675	-2.4967	16.8868	elec	0.00	999.00	2233.74
-28.8888	-2.7648	18.8745	elec	0.00	999.00	2233.48
-32.2146	-3.0276	20.8475	elec	0.00	999.00	2233.20
-3.6914	-0.0006	-6.8941	elec	0.00	999.00	2232.20
-4.7840	-0.0010	-8.9083	elec	0.00	999.00	2231.66
-6.4549	-0.0015	-11.9762	elec	0.00	999.00	2230.83
-9.2079	-0.0023	-17.0115	elec	0.00	999.00	2229.45
-7.3954	-0.0012	-13.7905	elec	0.00	999.00	2230.09
-9.5820	-0.0017	-17.8210	elec	0.00	999.00	2228.90
-12.9258	-0.0027	-23.9633	elec	0.00	999.00	2227.04
-18.4389	-0.0038	-34.0530	elec	0.00	999.00	2223.79
-11.1012	-0.0016	-20.6897	elec	0.00	999.00	2227.83
-14.3831	-0.0024	-26.7394	elec	0.00	999.00	2225.89
-19.4032	-0.0034	-35.9633	elec	0.00	999.00	2222.78
-14.8091	-0.0022	-27.5919	elec	0.00	999.00	2225.42
-19.1876	-0.0030	-35.6641	elec	0.00	999.00	2222.63
-1.0910	-4.9763	-1.8335	elec	0.00	999.00	2233.19
-1.6896	-6.7292	-2.7112	elec	0.00	999.00	2232.72
-2.8722	-9.6146	-4.2823	elec	0.00	999.00	2231.86
-5.7744	-14.8769	-7.5820	elec	0.00	999.00	2229.98
-2.7821	-10.0410	-3.9947	elec	0.00	999.00	2232.01
